ccg,group,postcode,practice_name,address,list_size,brick,
,,,,,,,
 Horsham and Mid Sussex ,GP SURGERY,RH16 4BN,DOLPHINS GROUP PRACTICE,NIGHTINGALE PRIMARY CARE CENTRE,12500,RH16,441444414767
 Bromley ,PRIVATE HOSPITAL,BR3 5HS,BMI THE SLOANE HOSPITAL,125-133 ALBEMARLE ROAD,0,BR03,442084666911
 Nene ,GP SURGERY,NN11 4FE,ABBEY HOUSE MEDICAL PRACTICE,ABBEY HOUSE SURGERY,19827,NN11,441327877770
 West Hampshire ,GP PRACTICE DISPENSING,SO51 8EN,ABBEY MEAD SURGERY,THE ABBEY,9082,SO51,441794512218
 North East West Devon,GP PRACTICE DISPENSING,PL19 8BU,DR DAVIES & PARTNERS,ABBEY SURGERY,14500,PL19,441822612247
 Enfield ,GP SURGERY,EN1 3EB,ABERNETHY HOUSE SURGERY,70 SILVER STREET,11600,EN01,442083704940
 Oxfordshire ,GP PRACTICE DISPENSING,OX14 1BT,MARCHAM ROAD HEALTH CENTRE,MARCHAM ROAD,12600,OX14,441235522602
 Ealing ,GP SURGERY,W3 8QH,DR CABOT & PARTNERS,THE MILL HILL SURGERY,6000,WZ03,442089929955
 Ealing ,GP SURGERY,W3 8QE,DR ISSAC SURGERY,ACTON HEALTH CENTRE,3300,WZ03,442089926768
 Wiltshire ,GP SURGERY,BA14 8QA,ADCROFT SURGERY,PROSPECT PLACE,12500,BA14,441225435757
 Cambs and Peterborough ,HOSPITAL,CB2 0QQ,ADDENBROOKES HOSPITAL (ACUTE),HILLS ROAD,0,CB02,441223245151
 Norwich ,GP SURGERY,NR2 4JL,WENSUM VALLEY MEDICAL PRACTICE,19 ADELAIDE STREET,11600,NR02,441603250660
 City and Hackney ,GP SURGERY,E9 6QY,ELSDALE STREET SURGERY,28 ELSDALE STREET,5553,EZ09,442085252980
 Southwark ,GP SURGERY,SE16 7JX,ALBION STREET GROUP PRACTICE,ALBION STREET HEALTH CENTRE,12000,SE16,442030497120
 North East Hants Farnham,GP SURGERY,GU11 1AY,SOUTHLEA GROUP PRACTICE,HOSPITAL HILL,14400,GU11,441252335400
 North East Hants Farnham,GP SURGERY,GU11 1AY,VICTORIA PRACTICE,ALDERSHOT CENTRE FOR HEALTH,8600,GU11,441252335445
 North East Hants Farnham,GP SURGERY,GU11 1AY,WELLINGTON PRACTICE,THE ALDERSHOT CENTRE FOR HEALTH,3100,GU11,441252324577
 Nene ,GP SURGERY,NN2 6LS,QUEENSVIEW MEDICAL CENTRE,THORNTON ROAD,8700,NN02,441604713315
 West Hampshire ,GP PRACTICE DISPENSING,SO24 9JL,THE ALRESFORD SURGERY,STATION ROAD,9300,SO22,441962732345
 North Hampshire ,GP SURGERY,GU34 1RJ,CHAWTON PARK SURGERY,CHAWTON PARK ROAD,9606,GU34,441420542542
 North Hampshire ,GP SURGERY,GU34 2QX,THE WILSON PRACTICE,ANSTEY ROAD,14000,GU34,44142084676
 Chiltern ,GP SURGERY,HP6 5AY,AMERSHAM HEALTH CENTRE - GROUP PRACTICE,KING GEORGE V ROAD,11500,HP16,441494434344
 West Kent ,GP SURGERY,TN13 3AQ,DR HUSBAND & PARTNERS,AMHERST MEDICAL PRACTICE,13000,TN13,441732459255
 Camden ,GP SURGERY,NW1 1TN,REGENTS PARK & AMPTHILL PRACTICE,CROWNDALL HEALTH CENTRE,5700,NW01,442073837333
 West Hampshire ,GP SURGERY,SP10 3LD,THE ANDOVER HEALTH CENTRE MEDICAL PRACTI,CHARLTON ROAD,14400,SP10,441264321550
 West Hampshire ,GP SURGERY,SP10 3JY,CHARLTON HILL SURGERY,CHARLTON ROAD,11000,SP10,441264337979
 Redbridge ,GP SURGERY,RM6 6RT,"DR HAMILTON-SMITH, OLADIMEJI & IMRAN",CHADWELL HEATH HEALTH CENTRE,6400,RM06,448443878044
 Herts Valleys ,GP SURGERY,HP3 0HJ,ARCHWAY SURGERY,52 HIGH STREET,2450,HP03,441442833380
 East and N Herts ,GP PRACTICE DISPENSING,SG5 4HB,LARKSFIELD SURGERY MEDICAL PARTNERSHIP,ARLESEY ROAD,13000,SG05,441462732200
 Bedfordshire ,GP SURGERY,SG15 6SN,ARLESEY MEDICAL CENTRE,HIGH STREET,4000,SG18,441462732144
 West Kent ,MINISTRY OF DEFENCE,ME14 2NA,36 ENGINEERING REGIMENT MEDICAL CENTRE,SANDLING ROAD,0,ME14,441622767280
 High Weald Lewes Havens,GP PRACTICE DISPENSING,RH18 5AQ,ASHDOWN FOREST HEALTH CENTRE,LEWES ROAD,9700,TN06,441342822131
 Swindon ,GP SURGERY,SN5 7XY,DR NIXON & PARTNERS,ASHINGTON HOUSE,10000,SN05,441793614840
 Surrey Downs ,PRIVATE HOSPITAL,KT21 2SB,ASHTEAD HOSPITAL,THE WARREN,0,KT22,441372221400
 East and N Herts ,GP PRACTICE DISPENSING,SG7 5PY,ASHWELL SURGERY,LAWYERS CLOSE,7000,SG06,441462417377
 Bedfordshire ,GP PRACTICE DISPENSING,MK17 8QP,ASPLANDS MEDICAL CENTRE,ASPLANDS CLOSE,11300,MK45,441908582069
 West Kent ,GP SURGERY,TN15 6EJ,WEST KINGSDOWN MEDICAL CENTRE,LONDON ROAD,5000,TN14,441474855000
 Southwark ,GP SURGERY,SE17 2XE,AYLESBURY PARTNERSHIP,AYLESBURY MEDICAL CENTRE,24000,SE17,442033023007
 East Surrey ,PRIVATE HOSPITAL,RH6 0BB,SPIRE GATWICK PARK HOSPITAL,POVEY CROSS ROAD,0,RH06,441293785511
 Herts Valleys ,PRIVATE HOSPITAL,WD23 1RD,SPIRE BUSHEY HOSPITAL,HEATHBOURNE ROAD,0,WD23,442089509090
 Herts Valleys ,PRIVATE HOSPITAL,AL5 4BP,SPIRE HARPENDEN HOSPITAL,AMBROSE LANE,0,AL05,441582763191
 Norwich ,PRIVATE HOSPITAL,NR4 7TD,SPIRE NORWICH HOSPITAL,WATTON ROAD,0,NR04,441603456181
 South Eastern Hants ,PRIVATE HOSPITAL,PO9 5NP,SPIRE PORTSMOUTH HOSPITAL,BARTONS ROAD,0,PO09,442392456000
 Wandsworth ,GP SURGERY,SW12 9HS,BEDFORD HILL FAMILY PRACTICE,BALHAM HEALTH CENTRE,11500,SW12,442086731720
 Coastal West Sussex ,GP SURGERY,BN15 9UX,BALL TREE SURGERY,WESTERN ROAD NORTH,8300,BN15,441903752200
 North and West Reading ,GP SURGERY,RG4 7SS,DR PAIGE & PARTNERS,BALMORE PARK SURGERY,16500,RG04,441189471455
 West Essex ,GP SURGERY,CM19 5SJ,BARBARA CASTLE HEALTH CENTRE,BROADLEY ROAD,5200,CM18,441279406770
 North East West Devon,GP SURGERY,EX32 8GP,BRANNAM MEDICAL CENTRE,BRANNAMS SQUARE,13650,EX32,441271329004
 Somerset ,GP SURGERY,BA4 5UH,GROVE HOUSE SURGERY,WEST SHEPTON,6500,BA04,441749342314
 South Devon and Torbay ,GP SURGERY,TQ2 8JG,THE BARTON SURGERY,LYMINGTON HOUSE,10170,TQ02,441803323761
 City and Hackney ,GP SURGERY,N16 9JT,BARTON HOUSE GROUP PRACTICE,233 ALBION ROAD,12100,NZ16,442072495511
 Dorset ,GP PRACTICE DISPENSING,DT8 3EQ,BARTON HOUSE SURGERY,BARTON HOUSE,5700,DT06,441308861938
 Gloucestershire ,GP SURGERY,GL1 4HR,BARTONGATE SURGERY,115 BARTON STREET,9000,GL01,441452422944
 Basildon and Brentwood ,HOSPITAL,SS16 5NL,BASILDON UNIVERSITY HOSPITAL (ACUTE),NETHERMAYNE,0,SS16,441268524900
 North Hampshire ,HOSPITAL,RG24 9NA,BASINGSTOKE & NORTH HAMPSHIRE HOSPITAL,ALDERMASTON ROAD,0,RG24,441256473202
 Thurrock ,GP SURGERY,RM18 8SD,DR JONES & PARTNER,THE RIGG MILNER MEDICAL CENTRE,5100,RM18,441375843217
 Southampton ,GP SURGERY,SO18 6BT,BATH LODGE PRACTICE,BITTERNE HEALTH CENTRE,12500,SO18,442380442111
 Bromley ,HOSPITAL,BR3 3QL,BECKENHAM BEACON (ACUTE),379 CROYDON ROAD,0,BR03,441689863000
 Bedfordshire ,HOSPITAL,MK42 9DJ,BEDFORD HOSPITAL (ACUTE),KEMPSTON ROAD,0,MK42,441234355122
 Bedfordshire ,PRISON SURGERY,MK40 1HG,HMP BEDFORD,HEALTHCARE CENTRE,0,MK40,441234373000
 Isle Of Wight ,GP SURGERY,PO36 0DE,BEECHGROVE SURGERY,THE MALL,5000,PO36,441983407775
 Harrow ,GP SURGERY,HA3 7LT,DR WIJERATNE & PARTNERS,BELMONT HEALTH CENTRE,11000,HA03,442088636863
 Harrow ,GP SURGERY,HA3 7LT,THE CIRCLE PRACTICE,BELMONT HEALTH CENTRE,9000,HA03,442084271213
 High Weald Lewes Havens,GP SURGERY,TN5 6BJ,WADHURST MEDICAL GROUP,BELMONT SURGERY,8900,TN21,441892783888
 Camden ,GP SURGERY,NW6 4DX,BELSIZE PRIORY MEDICAL PRACTICE,208 BELSIZE ROAD,4448,NW06,442073288200
 West Kent ,PRIVATE HOSPITAL,TN17 4AX,BENENDEN HOSPITAL,GODDARDS GREEN ROAD,0,TN12,441580240333
 Herts Valleys ,GP SURGERY,HP3 9LY,BENNETTS END SURGERY,GATECROFT,18000,HP03,441442263511
 Oxfordshire ,GP SURGERY,OX10 7NE,BERINSFIELD HEALTH CENTRE,FANE DRIVE,5000,OX10,441865340558
 Gloucestershire ,GP SURGERY,GL52 6DA,BERKELEY PLACE SURGERY,11 HIGH STREET,7368,GL52,441242513975
 Southwark ,GP SURGERY,SE1 3BW,THE GRANGE ROAD PRACTICE,BERMONDSEY HEALTH CENTRE,7090,SE01,442030497220
 North Hampshire ,GP SURGERY,RG24 9DT,THE BERMUDA PRACTICE,SHAKESPEARE ROAD,5257,RG24,441256464151
 Coastal West Sussex ,GP SURGERY,PO22 9TD,DR WEEKS & PARTNERS,BERSTED GREEN SURGERY,12000,PO22,441243864843
 Bromley ,HOSPITAL,BR3 3BX,BETHLEM ROYAL HOSPITAL,MONKS ORCHARD ROAD,0,BR03,442032286000
 Tower Hamlets ,GP SURGERY,E2 6LL,BETHNAL GREEN HEALTH CENTRE,60 FLORIDA STREET,9000,EZ02,442077396677
 Tower Hamlets ,GP SURGERY,E2 9LS,THE MISSION PRACTICE,208 CAMBRIDGE HEATH ROAD,12000,EZ02,442089837300
 Oxfordshire ,GP PRACTICE DISPENSING,OX26 6AT,DR MONCRIEFF & PARTNERS,BICESTER HEALTH CENTRE,11900,OX26,441869249333
 Bedfordshire ,GP PRACTICE DISPENSING,SG18 8DJ,DR KIRKHAM & PARTNERS,BIGGLESWADE HEALTH CENTRE,13000,SG18,441767316346
 Bracknell and Ascot ,GP PRACTICE DISPENSING,RG42 5JG,BINFIELD SURGERY,TERRACE ROAD NORTH,10000,RG12,448444770932
 Bracknell and Ascot ,GP SURGERY,RG12 7WW,THE RINGMEAD MEDICAL PRACTICE,LEPPINGTON,15000,RG12,441344208060
 Lincolnshire West ,GP SURGERY,LN6 0QQ,BIRCHWOOD MEDICAL PRACTICE,JASMIN ROAD,9600,LN06,441522699999
 North Norfolk ,GP PRACTICE DISPENSING,NR28 0BQ,BIRCHWOOD MEDICAL PRACTICE,PARK LANE,11000,NR11,441692402035
 Oxfordshire ,GP SURGERY,OX4 7EX,DR WILKINSON & PARTNERS,THE LEYS HEALTH CENTRE,11000,OX04,441865778244
 Somerset ,GP SURGERY,TA1 2LB,BLACKBROOK SURGERY,LISIEUX WAY,10040,TA01,441823259444
 Greenwich ,PRIVATE HOSPITAL,SE3 9UD,BMI BLACKHEATH HOSPITAL,40-42 LEE TERRACE,0,SE03,442083187722
 North East West Devon,GP SURGERY,EX10 9YA,SID VALLEY PRACTICE,BEACON HEALTH CENTRE,14500,EX10,441395512601
 Fareham and Gosport ,GP SURGERY,SO31 4NQ,BLACKTHORN HEALTH CENTRE,SATCHELL LANE,12400,SO31,442380453110
 North East West Devon,GP PRACTICE DISPENSING,EX21 5QE,BLAKE HOUSE SURGERY,BOWHAY CLOSE,2200,EX20,448448151362
 Islington ,OTHER,N7 9NH,PHARMACY BUSINESS & DISTRIBUTION CENTRE,14 BREWERY ROAD,0,NZ07,442034479724
 Camden ,GP SURGERY,WC1N 1PD,BLOOMSBURY SURGERY,1 HANDEL STREET,4208,WC01,442078378559
 Kernow ,GP PRACTICE DISPENSING,PL35 0BG,BOTTREAUX SURGERY,BOSCASTLE,4800,PL15,441840250209
 North Hampshire ,GP PRACTICE DISPENSING,GU34 5HG,BOUNDARIES SURGERY,17 WINCHESTER ROAD,3600,GU34,441420562153
 Bracknell and Ascot ,GP SURGERY,RG12 9PG,BOUNDARY HOUSE SURGERY,MOUNT LANE,8600,RG12,441344483900
 Barnet ,GP SURGERY,N11 2PF,BOUNDS GREEN GROUP PRACTICE,GORDON ROAD,14000,NZ11,442088881736
 Dorset ,HOSPITAL,BH7 7DW,THE ROYAL BOURNEMOUTH HOSPITAL (ACUTE),CASTLE LANE EAST,0,BH08,441202303626
 Nene ,GP PRACTICE DISPENSING,NN13 6EQ,WASHINGTON HOUSE SURGERY,77 HALSE ROAD,9000,NN12,441280702436
 Nene ,GP SURGERY,NN13 6EJ,DR PERROT,68 HALSE ROAD,5000,NN12,441280703460
 Bristol ,GP SURGERY,BS10 6SP,BRADGATE SURGERY,ARDENTON WALK,9700,BS10,441179591919
 South Gloucestershire ,GP SURGERY,BS32 9DS,BRADLEY STOKE SURGERY,BROOK WAY,16000,BS32,441454616262
